               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10284,            0.032729,                   0,             0.23812,             0.38663,             0.18544,            0.049196,            0.068775,            0.030128,                   0,           0.0033207,           0.0033207,            0.070114
                   1,            0.073247,            0.024301,                   0,             0.51472,             0.51453,               0.493,             0.17559,            0.059239,            0.022286,                   0,           0.0064893,           0.0064893,            0.039949
                   2,            0.065255,            0.020475,                   0,             0.56095,             0.57994,             0.56135,             0.19398,              0.0586,            0.019128,                   0,            0.009493,            0.009493,           0.0096197
                   3,               0.057,            0.018611,                   0,             0.58395,             0.67119,             0.64898,             0.27387,            0.045765,            0.016852,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.048442,            0.016917,                   0,             0.83133,             0.77616,             0.85617,             0.42163,            0.040838,            0.015635,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.044079,            0.015897,                   0,             0.85057,             0.78634,             0.86041,             0.41713,            0.038412,            0.014809,                   0,             0.00901,             0.00901,             0.00901
                   6,             0.04111,            0.015477,                   0,             0.85139,              0.7994,             0.88364,             0.50429,            0.036209,            0.014123,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.038866,            0.014721,                   0,             0.80498,             0.85465,             0.88764,             0.52808,            0.034307,            0.013999,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.036261,            0.014659,                   0,             0.86175,              0.8343,             0.90389,             0.52251,            0.036791,            0.013347,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.033447,            0.013943,                   0,             0.87503,             0.82703,             0.90119,             0.49553,            0.033833,            0.013081,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.033923,            0.013257,                   0,             0.91479,             0.82849,             0.91959,             0.56871,            0.030965,            0.012644,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,             0.03354,            0.013655,                   0,             0.86497,             0.86587,             0.91644,             0.58214,             0.02909,            0.012789,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.031361,            0.012831,                   0,             0.88709,             0.85901,             0.91806,             0.56916,             0.02968,            0.012617,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.030377,            0.012637,                   0,             0.91327,             0.85714,             0.92655,             0.58572,            0.028853,            0.012508,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.030212,            0.012791,                   0,             0.89302,             0.86192,             0.92469,             0.57783,            0.029536,            0.012267,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.029071,            0.012052,                   0,              0.9135,             0.84426,             0.92852,             0.59904,            0.026889,            0.012091,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.028808,            0.011807,                   0,              0.9127,             0.86617,             0.93733,             0.60149,            0.027006,            0.011839,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,             0.02811,            0.011762,                   0,             0.92937,             0.84157,             0.93073,             0.60706,             0.02756,            0.011895,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.026838,            0.011612,                   0,             0.91411,             0.86919,             0.93354,             0.61422,            0.026917,            0.011541,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.026804,            0.011563,                   0,             0.93653,             0.86047,             0.93707,             0.59583,             0.02596,            0.011616,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.025536,            0.011217,                   0,             0.91838,             0.86773,             0.93758,             0.61657,            0.026899,            0.011401,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.025759,            0.011453,                   0,             0.93286,             0.85029,             0.93941,             0.63229,            0.025775,            0.011174,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.025249,            0.010971,                   0,             0.90572,              0.8939,             0.94209,              0.6294,             0.02491,            0.011281,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.025272,            0.011008,                   0,             0.92114,             0.86773,             0.94154,             0.63283,            0.024812,            0.011086,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.024756,             0.01115,                   0,             0.92842,             0.86773,             0.94126,              0.6271,            0.025959,            0.011211,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,             0.02387,            0.010633,                   0,             0.90611,             0.88367,             0.93403,             0.61968,            0.025533,            0.011258,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.024336,            0.011101,                   0,             0.91651,             0.89535,             0.94408,             0.63258,            0.024855,            0.010902,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.023864,            0.010943,                   0,             0.91939,             0.87863,             0.94163,             0.63954,            0.024979,            0.010923,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.023173,            0.010411,                   0,             0.89851,             0.90116,             0.94263,             0.63771,            0.024798,            0.010896,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.022992,            0.010379,                   0,             0.91111,             0.89826,             0.94626,             0.63511,            0.024331,             0.01091,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.023167,            0.010487,                   0,             0.94425,             0.86165,             0.94448,             0.64632,            0.024223,            0.010749,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.022055,            0.010199,                   0,             0.90658,             0.88953,             0.94064,             0.64773,            0.024428,            0.010844,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.022104,            0.010399,                   0,              0.9217,             0.89244,             0.94575,             0.64304,            0.024381,            0.010693,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.022297,            0.010118,                   0,              0.9218,             0.89097,             0.94701,             0.63645,             0.02459,            0.010745,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.021756,           0.0098653,                   0,             0.90184,             0.90807,             0.94552,             0.64401,             0.02422,            0.010702,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.021937,            0.010115,                   0,             0.91723,             0.89244,             0.94138,             0.64303,            0.024139,            0.010737,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.021648,            0.010108,                   0,             0.93119,             0.88514,             0.94296,             0.64622,             0.02403,            0.010683,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.021606,            0.009868,                   0,             0.94042,             0.87936,             0.94272,             0.64205,            0.023939,            0.010688,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.020896,           0.0098695,                   0,             0.91911,              0.8939,             0.94373,             0.65271,            0.023706,            0.010634,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.021164,           0.0098132,                   0,             0.92399,             0.88953,             0.94581,             0.65271,            0.023538,            0.010523,                   0,            0.000595,            0.000595,            0.000595
